42.91,59.14
63.31,68.44
75.70,74.62
80.33,76.76
84.58,81.24
88.80,83.71
87.68,82.86
90.24,85.00
90.61,81.78
90.76,85.34
91.90,85.04
91.17,86.73
92.75,87.65
93.09,86.80
93.27,87.28
93.42,86.94
93.38,86.73
93.33,85.88
94.09,87.95
94.20,88.39
94.63,88.36
93.79,86.56
94.63,87.04
94.41,88.80
94.89,86.66
94.37,89.21
94.70,88.12
94.74,86.22
94.59,89.01
94.81,87.21
94.82,86.39
94.79,85.14
95.00,87.85
95.42,87.82
94.02,87.31
93.39,87.24
93.64,87.14
95.11,87.48
95.50,87.89
95.52,88.06
95.81,87.72
95.67,88.16
94.63,88.97
95.42,89.24
94.92,88.73
95.55,89.07
95.57,89.14
95.97,88.70
95.44,88.97
95.59,88.43
96.07,88.87
96.08,88.94
96.19,88.90
96.23,88.90
96.23,88.97
96.23,88.73
96.23,88.87
96.30,89.07
96.29,88.94
96.30,88.70
96.27,88.70
96.27,88.70
96.30,88.87
96.34,88.77
96.33,88.73
96.33,88.73
96.33,89.11
96.33,88.84
96.40,89.11
96.29,88.80
96.33,88.63
96.24,88.67
96.19,89.01
96.29,88.94
96.24,89.07
96.34,88.80
96.31,89.01
96.40,88.77
96.41,88.77
96.41,88.80
96.34,89.11
96.34,88.63
96.35,88.73
96.35,89.01
96.35,88.56
96.30,89.01
96.37,89.07
96.37,88.73
96.33,88.80
96.38,88.80
96.35,88.87
96.31,88.70
96.37,88.90
96.38,89.11
96.34,88.80
96.35,89.04
96.30,88.60
96.34,88.73
96.37,88.87
96.35,88.97
